Family,species,valid_Apr2016,Phylogeny,other phylogeny,Realm,time,element,activity Season Length,"breeding age (female, months)",field body temperature,preferred body temperature,Latitude_centroid,Longitude_centroid,npp,mean annual temperature,annual precipitation ,biome,insular endemic,foraging,sub-order,infraorder,log_mass
Gymnophthalmidae,Scriptosaura catimbau,yes,Goicoechea et al. 2016,no,Neotropic,Diurnal,earth,NA,NA,NA,32.9,-8.621106205,-37.16015623,11.66,23.42,771.51,Deserts & Xeric Shrublands,no,NA,Sauria,Lacertoidea,-0.2411655
Gymnophthalmidae,Calyptommatus sinebrachiatus,yes,Pyron and Burbrink 2014,"Siedchlag et al. 2010, Colli et al. 2015",Neotropic,Nocturnal,earth,NA,NA,NA,33.3,-10.82337678,-42.73145781,11.74,24.25,727.76,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,0.36745938
Tropiduridae,Tropidurus hygomi,yes,Pyron and Burbrink 2014,Frost et al. 2001,Neotropic,Diurnal,air,NA,NA,35.4,33.47,-11.30976519,-38.45083091,11.67,23.56,971.91,Deserts & Xeric Shrublands,no,NA,Sauria,Pleurodonta,1.290501675
Tropiduridae,Tropidurus psammonastes,yes,Pyron and Burbrink 2014,Frost et al. 2001,Neotropic,Diurnal,air,NA,NA,37.55,34.48,-10.7877582,-42.82305581,11.74,24.29,738.6,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Pleurodonta,1.542847542
Gymnophthalmidae,Calyptommatus nicterus,yes,Pyron and Burbrink 2014,"Siedchlag et al. 2010, Colli et al. 2015",Neotropic,Nocturnal,earth,NA,NA,NA,35.4,-10.82337678,-42.73145781,11.74,24.25,727.76,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,0.336796103
Tropiduridae,Eurolophosaurus divaricatus,yes,Pyron and Burbrink 2014,Passoni et al. 2008,Neotropic,Diurnal,air,NA,NA,38,36.24,-11.0877325,-43.14152122,11.77,24.29,778.55,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Pleurodonta,1.455539103
Gymnophthalmidae,Psilophthalmus paeminosus,yes,Pyron and Burbrink 2014,"Castoe et al. 2004, Colli et al. 2015",Neotropic,Diurnal,earth,NA,NA,NA,36.6,-10.33385457,-40.70700124,11.63,23.6,568.1,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,-0.095390592
Gymnophthalmidae,Calyptommatus leiolepis,yes,Pyron and Burbrink 2014,Colli et al. 2015,Neotropic,Nocturnal,earth,NA,NA,NA,37,-10.82337678,-42.73145781,11.74,24.25,727.76,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,0.36745938
Gymnophthalmidae,Nothobachia ablephara,yes,Pyron and Burbrink 2014,"Castoe et al. 2004, Colli et al. 2015",Neotropic,Cathemeral,earth,NA,NA,NA,37,-10.3809176,-41.19304643,11.59,23.98,578.2,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,0.127994738
Gymnophthalmidae,Procellosaurinus tetradactylus,yes,Pyron and Burbrink 2014,Colli et al. 2015,Neotropic,Diurnal,earth,NA,NA,NA,39,-10.95737434,-42.93730739,11.76,24.24,754.41,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,-0.423239084
Gymnophthalmidae,Procellosaurinus erythrocercus,yes,Pyron and Burbrink 2014,"Castoe et al. 2004, Colli et al. 2015",Neotropic,Diurnal,earth,NA,NA,NA,40,-10.94280577,-42.94172634,11.76,24.26,754.98,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,-0.286276441
Scincidae,Brasiliscincus heathi,yes,Pyron and Burbrink 2014,Hedges and Conn 2012,Neotropic,Diurnal,air,NA,4,34.6,#DIV/0!,-10.35693167,-42.44133345,11.76,24.26,1034.08,Deserts & Xeric Shrublands,no,mixed,Sauria,Scincoidea,1.216070894
Phyllodactylidae,Gymnodactylus geckoides,yes,Domingos et al. 2014,Pellegrino et al. 2005,Neotropic,Cathemeral,air,12,NA,31.85,#DIV/0!,-8.143264529,-39.33119712,11.66,24.17,624.23,Deserts & Xeric Shrublands,no,mixed,Sauria,Gekkota,0.636372676
Phyllodactylidae,Phyllopezus periosus,yes,Pyron and Burbrink 2014,Gamble et al. 2012,Neotropic,Nocturnal,air,NA,NA,29.4,#DIV/0!,-8.128220187,-36.76608202,11.64,23.74,841.06,Deserts & Xeric Shrublands,no,NA,Sauria,Gekkota,1.706632867
Anguidae,Diploglossus lessonae,yes,no,no,Neotropic,Diurnal,earth,NA,NA,32.3,#DIV/0!,-7.247964691,-38.06477932,11.67,24.51,752.35,Deserts & Xeric Shrublands,no,Active,Sauria,Diploglossa,1.924112251
Gekkonidae,Lygodactylus klugei,yes,Pyron and Burbrink 2014,Gamble et al. 2011,Neotropic,Diurnal,air,NA,NA,34,#DIV/0!,-10.88297974,-42.09116334,11.68,23.94,719.93,Deserts & Xeric Shrublands,no,mixed,Sauria,Gekkota,-0.01358671
Teiidae,Glaucomastix abaetensis,yes,Goicoechea et al. 2016,no,Neotropic,Diurnal,air,NA,NA,37.45,#DIV/0!,-11.97769534,-38.81803242,11.69,23.41,1037.74,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,1.029304064
Tropiduridae,Tropidurus semitaeniatus,yes,Werneck et al. 2015,"Frost et al. 2001, Mato et al. 2015",Neotropic,Diurnal,air,NA,NA,37.1,#DIV/0!,-9.250617663,-40.3824154,11.72,24.39,864.38,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Pleurodonta,1.554
Sphaerodactylidae,Sphaerodactylus sputator,yes,Pyron and Burbrink 2014,no,Neotropic,Cathemeral,air,NA,NA,28.1,#DIV/0!,17.93172009,-63.02026971,10.88,26.46,1117.91,Deserts & Xeric Shrublands,yes,NA,Sauria,Gekkota,0.200118174
Dactyloidae,Anolis gingivinus,yes,Pyron and Burbrink 2014,Nicholson et al. 2005,Neotropic,Diurnal,air,NA,NA,29.6,#DIV/0!,17.75750312,-63.12078275,11.1,26.6,1009.2,Deserts & Xeric Shrublands,yes,NA,Sauria,Pleurodonta,0.890272205
Teiidae,Pholidoscelis plei,yes,Pyron and Burbrink 2014,"Hower and Hedges 2003, Hurtado et al. 2014",Neotropic,Diurnal,air,NA,NA,36.6,#DIV/0!,18.13330483,-63.03339936,10.9,26.9,997.86,Deserts & Xeric Shrublands,yes,Active,Sauria,Lacertoidea,2.274380368
Liolaemidae,Liolaemus hellmichi,yes,Labra et al. 2009,Labra et al. 2009,Neotropic,Diurnal,NA,NA,NA,29.06,33.69,-22.48908305,-69.94853153,10.38,16.08,3.26,Deserts & Xeric Shrublands,no,NA,Sauria,Pleurodonta,0.825792399
Tropiduridae,Microlophus heterolepis,yes,Pyron and Burbrink 2014,"Benavides et al. 2007, Pyron and Burbrink 2014",Neotropic,NA,air,NA,NA,32.4,#DIV/0!,-9.328676563,-77.68221459,11.05,16.64,133.67,Deserts & Xeric Shrublands,no,NA,Sauria,Pleurodonta,1.863811975
Tropiduridae,Microlophus quadrivittatus,yes,Pyron and Burbrink 2014,Benavides et al. 2007,Neotropic,Diurnal,air,NA,NA,35,#DIV/0!,-20.7676719,-69.84244185,10.39,17.02,4.1,Deserts & Xeric Shrublands,no,NA,Sauria,Pleurodonta,1.815134267
Lacertidae,Eremias przewalskii,yes,Pyron and Burbrink 2014,Guo et al. 2011,Palearctic,Diurnal,air,5,NA,NA,32.45,41.55224494,92.93068377,10.15,3.51,110.19,Deserts & Xeric Shrublands,no,NA,Sauria,Lacertoidea,1.333108149
Agamidae,Phrynocephalus vlangalii,yes,Pyron and Burbrink 2014,"Guo and Wang 2007, Guo et al. 2012, Solovyeva et al. 2014",Palearctic,Diurnal,air,5.5,NA,NA,34.9,38.93332792,90.76859317,10.34,2.29,199.2,Deserts & Xeric Shrublands,no,NA,Sauria,Acrodontia,1.272737477
Agamidae,Phrynocephalus przewalskii,yes,Pyron and Burbrink 2014,"Guo et al. 2012, Solovyeva et al. 2014",Palearctic,Diurnal,air,NA,12,33.5,33.9,40.59166324,106.909063,10.8,2.89,326.78,Deserts & Xeric Shrublands,no,NA,Sauria,Acrodontia,1.381922992
Agamidae,Phrynocephalus versicolor,yes,Pyron and Burbrink 2014,"Guo and Wang 2007, Stuart-Fox and Owens 2003, Solovyeva et al. 2014",Palearctic,Diurnal,air,5.5,NA,NA,36.9,42.90069026,98.56893118,10.51,3.06,213.06,Deserts & Xeric Shrublands,no,NA,Sauria,Acrodontia,0.983962262
Sphaerodactylidae,Teratoscincus scincus,yes,Pyron and Burbrink 2014,Gamble et al. 2012,Palearctic,Nocturnal,air,8.5,12,19,#DIV/0!,41.24376805,63.98614768,10.5,11.9,213.22,Deserts & Xeric Shrublands,no,mixed,Sauria,Gekkota,1.617168301
Gekkonidae,Alsophylax pipiens,yes,Pyron and Burbrink 2014,Gamble et al. 2012 (genus),Palearctic,Nocturnal,air,7.5,12,25.2,#DIV/0!,46.25035716,73.02763259,10.51,5.61,200.15,Deserts & Xeric Shrublands,no,NA,Sauria,Gekkota,0.228316686
Sphaerodactylidae,Teratoscincus przewalskii,yes,Pyron and Burbrink 2014,Gamble et al. 2012,Palearctic,Nocturnal,air,NA,NA,20.15,#DIV/0!,41.62887874,90.296249,9.99,7.39,82.89,Deserts & Xeric Shrublands,no,Active,Sauria,Gekkota,1.342712051
Anguidae,Diploglossus millepunctatus,yes,Conrad et al. 2011,Conrad et al. 2011,Neotropic,Diurnal,air,NA,NA,27.5,#DIV/0!,3.979813006,-81.58934085,0,25.3,1841,Deserts & Xeric Shrublands,yes,NA,Sauria,Diploglossa,2.751109949
Dactyloidae,Anolis agassizi,yes,Pyron and Burbrink 2014,"Castaneda and de Queiroz 2013, Prates et al. 2014",Neotropic,Diurnal,air,NA,NA,30.6,#DIV/0!,3.976577585,-81.59670427,0,25.3,1841,Deserts & Xeric Shrublands,yes,,Sauria,Pleurodonta,1.477414073
Iguanidae,Amblyrhynchus cristatus,yes,Pyron and Burbrink 2014,"Wiens & Hollingsworth 2000, MacLeod et al. 2015",Neotropic,Diurnal,water,NA,41,31.7,32.9,-0.546188203,-90.89897235,10.91,23.16,591.1,Deserts & Xeric Shrublands,yes,NA,Sauria,Pleurodonta,3.869614816
Tropiduridae,Microlophus albemarlensis,yes,Pyron and Burbrink 2014,Benavides et al. 2007,Neotropic,Diurnal,air,NA,NA,33.1,34.6,-0.52235429,-91.0323164,10.91,23.07,593.15,Deserts & Xeric Shrublands,yes,Sit&wait,Sauria,Pleurodonta,1.817498325
Iguanidae,Conolophus subcristatus,yes,Pyron and Burbrink 2014,"Wiens & Hollingsworth 2000, MacLeod et al. 2015",Neotropic,Diurnal,air,NA,132,35.16666667,#DIV/0!,-0.550156735,-91.0840806,10.92,22.97,598.22,Deserts & Xeric Shrublands,yes,NA,Sauria,Pleurodonta,3.798547884
Iguanidae,Conolophus pallidus,yes,Pyron and Burbrink 2014,"Wiens & Hollingsworth 2000, MacLeod et al. 2015",Neotropic,Diurnal,air,12,138,34.9,#DIV/0!,-0.815747693,-90.05712779,10.9,23.1,484,Deserts & Xeric Shrublands,yes,NA,Sauria,Pleurodonta,3.723338853
Phyllodactylidae,Ptyodactylus hasselquistii,yes,Pyron and Burbrink 2014,Nazarov et al. 2013,Palearctic,Cathemeral,air,NA,19.5,30,28.69,19.9142746,38.44507614,10.44,24.77,148.76,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Gekkota,1.470402486
Phyllodactylidae,Ptyodactylus guttatus,yes,Pyron and Burbrink 2014,Metallinou et al. 2015 (Ptyodactylus siphonorhina),Palearctic,Cathemeral,air,10,NA,29,30.92,30.11226171,34.34633222,10.55,19.56,119.36,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Gekkota,1.328861529
Lacertidae,Acanthodactylus boskianus,yes,Pyron and Burbrink 2014,"Harris and Arnold 2000, Harris 2008",Palearctic,Diurnal,air,11.5,9,35.75,34.25,22.87389007,19.36018857,10.49,23.52,191.98,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,1.293262359
Lacertidae,Acanthodactylus scutellatus,yes,Pyron and Burbrink 2014,"Mayer & Pavlicev 2007, Harris and Arnold 2000",Palearctic,Diurnal,air,12,7.5,35.55,34.9,24.00664608,16.69352072,10.35,23.87,82.43,Deserts & Xeric Shrublands,no,mixed,Sauria,Lacertoidea,1.15071525
Lacertidae,Acanthodactylus aegyptius,yes,"Karin Tamar, unpublished","Karin Tamar, unpublished",Palearctic,Diurnal,air,12,NA,32,36,28.81779288,30.93109209,10.53,20.59,58.27,Deserts & Xeric Shrublands,no,NA,Sauria,Lacertoidea,0.520925867
Agamidae,Uromastyx aegyptia,yes,Pyron and Burbrink 2014,"Townsend et al. 2004, Schulte and Moreno-Roark 2010",Palearctic,Diurnal,air,12,60,40.15,38,24.87471552,45.50571286,10.38,23.22,94.03,Deserts & Xeric Shrublands,no,NA,Sauria,Acrodontia,3.452752355
Lacertidae,Mesalina olivieri,yes,Pyron and Burbrink 2014,"Arnold et al. 2007, Mayer & Pavlicev 2007, Joger and Mayer 2002, Kapli et al. 2008",Palearctic,Diurnal,air,10.5,8,29.8,#DIV/0!,29.32266295,9.456177597,10.53,20.27,162.78,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,0.520925867
Agamidae,Pseudotrapelus sinaitus,yes,Pyron and Burbrink 2014,Schulte and Moreno-Roark 2010,Palearctic,Diurnal,air,10,12,35.2,#DIV/0!,21.34066619,38.02514497,10.41,24.22,98.12,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Acrodontia,1.652524287
Lacertidae,Mesalina guttulata,yes,Pyron and Burbrink 2014,"Arnold et al. 2007, Mayer & Pavlicev 2007, Joger and Mayer 2002, Kapli et al. 2008",Palearctic,Diurnal,air,10,12,31.3,#DIV/0!,23.90501765,13.3632073,10.4,23.46,110.43,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Lacertoidea,0.901884316
Scincidae,Chalcides ocellatus,yes,Pyron and Burbrink 2014,"Carranza et al. 2008, Austin and Arnold 2006",Palearctic,Cathemeral,earth,11,22,32.25,#DIV/0!,26.21171949,25.14799243,10.57,21.16,221.41,Deserts & Xeric Shrublands,no,mixed,Sauria,Scincoidea,1.901598675
Lacertidae,Acanthodactylus pardalis,yes,Pyron and Burbrink 2014,"Mayer & Pavlicev 2007, Harris and Arnold 2000",Palearctic,Diurnal,air,NA,22,35.3,#DIV/0!,31.04536199,25.10548078,10.48,19.43,113.13,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Lacertoidea,1.02403413
Gekkonidae,Stenodactylus sthenodactylus,yes,Pyron and Burbrink 2014,Metallinou et al. 2013 (including Stenodactylus mauritanicus),Palearctic,Nocturnal,air,9.5,NA,21.4,#DIV/0!,21.64041378,14.77309517,10.4,24.38,110.94,Deserts & Xeric Shrublands,no,mixed,Sauria,Gekkota,0.667475602
Agamidae,Trapelus savignii,yes,Pyron and Burbrink 2014,"Wagner et al. 2011, Melville et al. 2009",Palearctic,Diurnal,air,9,NA,35.925,#DIV/0!,30.54346791,33.33334127,10.52,19.84,99.7,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Acrodontia,1.803155371
Scincidae,Chalcides sepsoides,yes,Pyron and Burbrink 2014,Carranza et al. 2008,Palearctic,Cathemeral,earth,10,NA,26.6,#DIV/0!,28.90950869,25.68541146,10.36,20.51,78.04,Deserts & Xeric Shrublands,no,NA,Sauria,Scincoidea,0.894275691
Gekkonidae,Stenodactylus petrii,yes,Pyron and Burbrink 2014,Fujita and Papenfuss 2011,Palearctic,Nocturnal,air,NA,NA,20.6,#DIV/0!,23.0011282,14.74514108,10.39,24.08,98.52,Deserts & Xeric Shrublands,no,mixed,Sauria,Gekkota,0.869324301
Agamidae,Trapelus mutabilis,yes,Pyron and Burbrink 2014,Wagner et al. 2011,Palearctic,Diurnal,air,NA,NA,35.75,#DIV/0!,23.45125578,12.35244712,10.36,23.38,75.65,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Acrodontia,1.507720313
Scincidae,Trachylepis brevicollis,yes,Pyron and Burbrink 2014,Sindaco et al. 2012,Afrotropic,Cathemeral,air,NA,NA,34.1,34.8,10.61408993,40.56939113,10.94,24.68,391.72,Deserts & Xeric Shrublands,no,mixed,Sauria,Scincoidea,2.157274919
Gekkonidae,Hemidactylus flaviviridis,yes,Pyron and Burbrink 2014,Carranza and Arnold 2006,Oriental,Cathemeral,air,NA,10,27.2,#DIV/0!,23.63901479,72.97720549,11.03,25.08,900.24,Deserts & Xeric Shrublands,no,Active,Sauria,Gekkota,1.218494874
Trogonophiidae,Diplometopon zarudnyi,yes,Pyron and Burbrink 2014,Longrich et al. 2015,Palearctic,Nocturnal,earth,NA,NA,31.5,26.4,25.78676914,45.93506708,10.33,24.35,123.03,Deserts & Xeric Shrublands,no,NA,Amphisbaenia,Amphisbaenia (Lacertoidea),0.814286397
Gekkonidae,Stenodactylus doriae,yes,Pyron and Burbrink 2014,Metallinou et al. 2013,Palearctic,Nocturnal,air,NA,8,23.2,#DIV/0!,23.6708842,46.33336926,10.37,23.85,100.63,Deserts & Xeric Shrublands,no,mixed,Sauria,Gekkota,1.056574613
Agamidae,Trapelus ruderatus,yes,Pyron and Burbrink 2014,Schulte and Moreno-Roark 2010,Palearctic,Diurnal,air,8,24,37.8,#DIV/0!,32.45661215,44.13922483,10.67,16.7,277.94,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Acrodontia,1.928686351
Scincidae,Eumeces schneideri,yes,Pyron and Burbrink 2014,Perera et al. 2012,Palearctic,Diurnal,air,7.5,33,33.1,#DIV/0!,34.20265233,50.23290454,10.7,15.76,308.69,Deserts & Xeric Shrublands,no,Active,Sauria,Scincoidea,2.203257297
Agamidae,Phrynocephalus maculatus,yes,Solovyeva et al. 2014,no,Palearctic,Diurnal,air,8.75,NA,38.8,#DIV/0!,26.8841514,55.00692469,10.32,20.78,105.32,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Acrodontia,1.396823523
Gekkonidae,Bunopus tuberculatus,yes,Pyron and Burbrink 2014,Gamble et al. 2012 (genus),Palearctic,Cathemeral,air,11.5,NA,30,#DIV/0!,28.10278912,51.21818703,10.4,20.95,133.56,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Gekkota,0.706793455
Agamidae,Laudakia nupta,yes,Pyron and Burbrink 2014,"Schulte and Moreno-Roark 2010, Solovyeva et al. 2014",Palearctic,Diurnal,air,NA,NA,27.2,#DIV/0!,32.14999898,61.33277014,10.68,15.07,263.19,Deserts & Xeric Shrublands,no,Active,Sauria,Acrodontia,2.255315828
Scincidae,Ophiomorus streeti,yes,Greer and Wilson 2001,Greer and Wilson 2001,Palearctic,Nocturnal,earth,NA,NA,29,#DIV/0!,27.27031126,60.53497959,10.21,25.7,108.5,Deserts & Xeric Shrublands,no,NA,Sauria,Scincoidea,0.837281325
Agamidae,Saara loricata,yes,Pyron and Burbrink 2014,Wilms et al. 2009,Palearctic,Diurnal,air,NA,NA,43.2,#DIV/0!,31.616101,48.09362239,10.69,21.79,260.74,Deserts & Xeric Shrublands,no,NA,Sauria,Acrodontia,2.959745783
Agamidae,Trapelus agilis,yes,Pyron and Burbrink 2014,Wagner et al. 2011,Palearctic,Diurnal,air,10,NA,38,#DIV/0!,35.11634788,64.37040999,10.6,15.34,229.68,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Acrodontia,1.724142057
Agamidae,Trapelus agnetae,yes,Wagner et al. 2011,Wagner et al. 2011,Palearctic,Diurnal,air,12,NA,36.2,#DIV/0!,28.58704534,42.19291364,10.38,21.76,118.42,Deserts & Xeric Shrublands,no,NA,Sauria,Acrodontia,1.433370052
Lacertidae,Acanthodactylus beershebensis,yes,Pyron and Burbrink 2014,no,Palearctic,Diurnal,air,9.5,12,33.3,34.9,31.17898922,34.89978893,10.69,19.67,209.39,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,1.223969645
Agamidae,Phrynocephalus mystaceus,yes,Pyron and Burbrink 2014,"Jin and Brown 2013, Solovyeva et al. 2014",Palearctic,Diurnal,air,6.25,24,32.3,#DIV/0!,43.54981315,61.3237108,10.54,10.52,222.11,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Acrodontia,1.799862367
Opluridae,Oplurus quadrimaculatus,yes,Pyron and Burbrink 2014,"Munchenberg et al. 2008, Chan et al. 2012",Madagascar,Diurnal,air,NA,NA,33.1,#DIV/0!,-23.31420767,45.96408555,11.62,21.45,1003.48,Deserts & Xeric Shrublands,yes,NA,Sauria,Pleurodonta,2.076789929
Opluridae,Oplurus saxicola,yes,Pyron and Burbrink 2014,"Munchenberg et al. 2008, Chan et al. 2012",Madagascar,Diurnal,air,NA,NA,35.9,#DIV/0!,-24.2794598,45.38410726,11.5,22.98,686.37,Deserts & Xeric Shrublands,yes,NA,Sauria,Pleurodonta,1.588460402
Phyllodactylidae,Tarentola chazaliae,yes,Pyron and Burbrink 2014,"Gamble et al. 2008, Carranza et al. 2002",Palearctic,Nocturnal,air,NA,10.5,22,#DIV/0!,26.14319733,-13.1882607,10.37,20.27,69.68,Deserts & Xeric Shrublands,no,Active,Sauria,Gekkota,1.022887415
Anguidae,Elgaria paucicarinata,yes,Pyron and Burbrink 2014,Conroy et al. 2005,Neotropic,Diurnal,air,NA,NA,25.4,25.8,23.53504111,-109.9252897,11.06,22.09,312.65,Deserts & Xeric Shrublands,no,Active,Sauria,Diploglossa,1.470550736
Xantusiidae,Xantusia extorris,yes,Noonan et al. 2013,Noonan et al. 2013 (also for Xantusia gilberti and Xantusia extorris),Nearctic,Nocturnal,air,NA,NA,30.2,28.3,25.3532967,-103.6573933,11.13,20.56,277.67,Deserts & Xeric Shrublands,no,NA,Sauria,Scincoidea,0.182811853
Eublepharidae,Coleonyx switaki,yes,Kratochvil & Frynta 2002,Kratochvil & Frynta 2002,Nearctic,Nocturnal,air,NA,30,NA,30,29.71510666,-114.2069737,10.77,19.43,146.34,Deserts & Xeric Shrublands,no,NA,Sauria,Gekkota,1.095792459
Phrynosomatidae,Sceloporus cyanostictus,yes,Martinez-Mendez and Mendez-de la Cruz 2007,no,Nearctic,Diurnal,air,NA,NA,32.05,32.785,25.94008501,-102.2789032,11.04,19.7,261.6,Deserts & Xeric Shrublands,no,NA,Sauria,Pleurodonta,1.245370442
Phrynosomatidae,Uta stansburiana,yes,Pyron and Burbrink 2014,Bonine et al. 2005,Nearctic,Diurnal,air,10.5,10.5,36,34.3,34.87045195,-111.3754389,11,13.95,314.31,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Pleurodonta,1.195135671
Phrynosomatidae,Phrynosoma goodei,yes,"Leache & McGuire 2006, De Oca et al. 2014, Leache and Linkem 2015",De Oca et al. 2014,Nearctic,Diurnal,air,7,NA,38.1,34.9,31.98115176,-112.7502713,10.79,20.92,201.26,Deserts & Xeric Shrublands,no,NA,Sauria,Pleurodonta,1.376507198
Phrynosomatidae,Sceloporus clarkii,yes,Pyron and Burbrink 2014,Leache 2010,Nearctic,Diurnal,air,6.5,22,33.85,35,29.47507004,-109.204638,11.23,18.06,546.6,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Pleurodonta,1.922936391
Iguanidae,Sauromalus ater,yes,Pyron and Burbrink 2014,"Wiens & Hollingsworth 2000, Petren and Case 1997, Petren and Case 2002",Nearctic,Diurnal,air,4,54,37.1,36.655,33.53534232,-113.8256103,10.83,17.21,221.88,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Pleurodonta,2.709782365
Iguanidae,Sauromalus hispidus,yes,Pyron and Burbrink 2014,"Wiens & Hollingsworth 2000, Petren and Case 1997, Petren and Case 2002",Nearctic,Diurnal,air,NA,NA,NA,36.6,29.20901234,-113.332668,10.69,21.16,111.3,Deserts & Xeric Shrublands,yes,NA,Sauria,Pleurodonta,3.135148127
Phrynosomatidae,Callisaurus draconoides,yes,Pyron and Burbrink 2014,Wiens et al. 2010,Nearctic,Diurnal,air,7,16.5,39.3,38.1,32.93916125,-113.7665478,10.92,17.14,270.85,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Pleurodonta,1.599190735
Phrynosomatidae,Uma paraphygas,yes,Pyron and Burbrink 2014,Wiens et al. 2010,Nearctic,Diurnal,air,NA,4.45,37.25,#DIV/0!,26.79968156,-103.61127,10.79,19.25,317.44,Deserts & Xeric Shrublands,no,NA,Sauria,Pleurodonta,1.363517048
Phrynosomatidae,Uma exsul,yes,Pyron and Burbrink 2014,Schulte and Moreno-Roark 2010,Nearctic,Diurnal,air,NA,9.5,36.9,#DIV/0!,25.71710339,-102.008266,10.94,19.94,292.68,Deserts & Xeric Shrublands,no,Sit&wait,Sauria,Pleurodonta,1.499
Teiidae,Aspidoscelis tigris,yes,Pyron and Burbrink 2014,Reeder et al. 2002,Nearctic,Diurnal,air,6.5,20.5,39.2,#DIV/0!,34.31244579,-111.8579455,10.99,14.51,314.29,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,1.898200964
Teiidae,Aspidoscelis scalaris,yes,Reeder et al. 2002,Reeder et al. 2002,Nearctic,Diurnal,air,NA,10,37.6,#DIV/0!,27.45900966,-104.2756574,11.06,18.11,386.32,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,1.77439014
Teiidae,Aspidoscelis inornata,yes,Pyron and Burbrink 2014,Reeder et al. 2002,Nearctic,Diurnal,air,6.5,16,39.1,#DIV/0!,29.18406944,-104.1991026,11,16.73,340.08,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,1.269290183
Teiidae,Aspidoscelis hyperythra,yes,Pyron and Burbrink 2014,Reeder et al. 2002,Nearctic,Diurnal,air,NA,11.5,39.2,#DIV/0!,28.2785311,-113.6699813,10.92,19.57,201.54,Deserts & Xeric Shrublands,no,Active,Sauria,Lacertoidea,1.033050684
Phrynosomatidae,Phrynosoma coronatum,yes,Pyron and Burbrink 2014,"Leache & McGuire 2006, De Oca et al. 2014, Leache and Linkem 2015",Nearctic,Diurnal,air,NA,30,35.45,#DIV/0!,32.60102964,-117.0206323,11.17,17.07,350.07,Deserts & Xeric Shrublands,no,mixed,Sauria,Pleurodonta,1.651334287
